voice-over	0	0	0	0	1	15	80	319	925	experience	1	1	3	31	112	336	858	1831	3377
video	0	1	1	5	24	53	135	360	885	henry	0	3	24	66	138	299	578	1000	1679
software	9	20	41	76	151	303	602	1106	1926	capacity	2	4	12	45	121	312	714	1453	2603
gender	2	2	4	30	113	301	771	1601	2923	method	13	25	51	120	367	820	1632	2751	4256
e-mail	0	0	2	6	12	25	63	181	486	artist	46	72	134	230	384	682	1147	1893	3017
teaspoon	85	159	271	454	686	1059	1670	2693	4317	element	2	3	19	39	169	484	1116	2187	3604
feedback	0	0	1	2	5	26	99	371	1071	academy	7	9	16	35	76	134	248	437	835
lifestyle	1	1	2	4	15	63	259	840	1953	alliance	16	23	48	112	208	406	746	1316	2228
youre	0	0	0	1	4	40	112	284	594	chorus	16	38	64	108	186	278	430	692	1133
metro	0	1	7	20	61	130	298	611	1220	theme	2	5	16	42	108	255	544	1129	2112
database	3	3	5	18	53	151	386	880	1796	utility	5	30	80	229	493	903	1554	2443	3704
website	0	0	1	3	7	18	71	218	615	velvet	405	562	738	993	1393	1924	2676	3700	5000
pasta	231	319	437	585	793	1101	1595	2517	4087	rider	8	11	24	38	78	178	323	617	1240
tablespoon	95	184	296	458	670	994	1550	2443	3878	controversy	11	17	25	34	57	81	166	394	842
update	0	0	0	0	2	14	62	228	713	flour	109	188	309	462	686	1007	1468	2105	3002
workplace	0	0	1	11	46	182	492	1171	2242	archbishop	13	20	30	44	78	136	221	382	725
healthcare	6	12	34	78	189	363	680	1205	1989	uncertainty	13	17	29	60	100	199	410	855	1676
fax	1	1	3	5	9	16	24	60	128	spy	3	5	8	15	29	62	110	226	508
workout	0	0	0	4	12	26	93	223	614	resident	1	3	4	18	50	148	357	757	1392
regression	0	0	0	0	1	8	33	143	444	resentment	40	61	98	153	235	390	594	976	1632
parenting	1	1	2	2	7	27	71	195	500	moisture	24	86	173	371	685	1145	1845	2793	4076
ethnicity	1	2	8	20	92	278	631	1305	2385	fortnight	4	6	6	13	25	57	152	380	893
baseline	0	2	3	21	49	141	351	768	1579	brigade	12	14	22	35	71	102	178	275	454
ecosystem	1	5	12	35	103	253	602	1388	2690	dialogue	6	7	14	28	64	154	295	605	1186
processor	1	1	1	5	15	84	282	711	1484	treasurer	14	32	59	110	203	343	565	956	1541
ppg	0	0	0	3	9	52	156	404	926	rue	1	2	8	23	80	175	356	593	851
spokeswoman	1	1	1	1	4	7	19	68	148	fascination	2	3	7	14	30	77	177	416	898
icon	0	1	2	9	34	127	379	972	2092	ivory	13	34	65	118	218	401	722	1247	2151
globalization	29	57	138	310	612	1092	1831	2853	4185	recommendation	14	31	61	127	261	517	940	1526	2408
email	0	0	0	1	3	9	25	81	252	meadow	63	111	183	355	584	950	1480	2297	3490
governance	4	24	100	272	617	1145	1952	3051	4414	dictionary	8	15	24	38	71	125	235	408	717
interface	2	14	54	136	268	517	989	1884	3284	inventor	5	13	26	41	97	164	343	620	1058
workforce	3	7	20	48	144	303	609	1157	1986	velocity	59	124	213	346	555	868	1400	2192	3407
laptop	8	21	48	91	200	363	717	1309	2311	goose	5	13	29	69	175	342	640	1161	2087
biodiversity	2	4	6	14	26	71	218	556	1285	individuality	35	124	300	594	1047	1603	2441	3510	4849
info	0	0	0	0	0	1	4	11	46	bin	14	43	108	219	366	612	842	1251	1938
blog	0	0	2	4	10	28	81	219	561	grape	36	82	161	258	445	692	1040	1525	2281
outreach	4	13	26	70	146	279	523	973	1802	chronicle	1	4	11	20	40	70	142	268	498
preschool	4	7	11	22	36	72	143	275	547	particle	9	21	68	173	390	738	1308	2072	3078
privatization	33	78	193	400	704	1188	1907	2834	4146	justification	7	20	52	155	378	870	1608	2654	4023
overview	0	1	2	6	9	21	46	140	367	secession	12	14	19	41	102	201	392	732	1279
watercolor	1	2	4	8	17	38	85	220	461	fertility	9	21	40	123	265	593	1193	2115	3437
backpack	80	156	305	576	988	1701	2623	3844	5000	premium	5	16	37	75	167	303	594	1035	1714
download	0	0	1	5	10	35	85	225	580	enactment	98	155	250	440	710	1138	1793	2637	3796
artwork	4	10	33	90	184	368	782	1644	3117	ransom	0	0	1	2	6	14	27	69	174
hip-hop	5	11	21	35	81	171	408	816	1683	sultan	13	24	38	70	111	162	263	420	707
peacekeeping	1	7	16	55	141	327	629	1175	2122	disappearance	3	4	6	9	20	27	37	60	120
salsa	83	146	239	357	503	679	953	1463	2472	bias	3	4	5	12	52	152	422	974	1932
same-sex	0	1	3	6	14	39	108	304	822	destroyer	24	34	59	91	138	236	359	595	914
multimedia	3	10	25	49	111	225	446	833	1439	prediction	4	4	7	10	21	48	108	273	730
genome	0	0	0	0	3	20	74	256	669	pudding	133	211	308	404	512	688	860	1118	1602
predictor	1	1	5	9	19	45	141	376	913	collision	1	5	6	8	16	24	50	153	381
autism	5	15	38	78	160	301	504	825	1375	scalp	3	5	17	43	94	184	393	812	1493
sensor	158	257	406	648	997	1498	2262	3336	4798	truce	9	15	29	46	71	126	224	415	736
cilantro	227	342	485	701	1005	1502	2249	3491	5000	arrogance	117	212	356	550	841	1231	1755	2522	3547
sustainability	2	3	20	68	211	489	930	1649	2702	consolidation	40	84	202	428	791	1318	2080	3088	4459
empowerment	1	6	15	66	175	389	833	1597	2746	substitution	2	5	14	78	273	665	1418	2551	3983
condom	0	0	0	0	0	4	16	52	253	canton	1	1	3	11	24	60	140	308	670
self-efficacy	0	0	4	31	91	293	788	1680	2974	co-operation	4	8	18	49	147	353	739	1408	2406
ethanol	18	56	130	267	502	882	1480	2307	3493	trader	3	6	18	38	63	129	226	428	807
anthrax	1	5	20	57	116	234	424	750	1272	mortar	7	30	69	149	317	596	1095	1903	3117
tsunami	1	1	2	5	11	37	80	181	465	volcano	5	7	10	20	40	99	222	483	967
rehab	0	1	3	4	9	35	84	228	634	yore	2	3	17	86	225	411	650	935	1306
