Word,DensityAtRadius0.550,DensityAtRadius0.525,DensityAtRadius0.500,DensityAtRadius0.475,DensityAtRadius0.450,DensityAtRadius0.425,DensityAtRadius0.400,DensityAtRadius0.375,DensityAtRadius0.350,GrowthAtRadius0.550,GrowthAtRadius0.525,GrowthAtRadius0.500,GrowthAtRadius0.475,GrowthAtRadius0.450,GrowthAtRadius0.425,GrowthAtRadius0.400,GrowthAtRadius0.375,GrowthAtRadius0.350,IsNeologism
voice-over,0,0,0,0,1,15,80,319,925,NaN,NaN,NaN,NaN,0.023374100418794893,0.42988330168550265,0.4804608161592355,0.4640185628228421,0.43779395947402816,1
video,0,1,1,5,24,53,135,360,885,NaN,0.6496804009072564,0.6496804009072564,0.7298147677046403,0.7136166142919418,0.6644580535135407,0.6053553588217607,0.5740915277984577,0.5341602337539593,1
software,9,20,41,76,151,303,602,1106,1926,0.5681757122123163,0.5379948956254823,0.5508947724882653,0.589901966245801,0.57402546950948,0.5762890655666665,0.5576745256228998,0.5369039632040554,0.5121895971645312,1
gender,2,2,4,30,113,301,771,1601,2923,0.3223814995344281,0.3223814995344281,0.3696294824120645,0.42026888587148015,0.46673937377744845,0.46412498994827395,0.4330050980527531,0.3988911542789844,0.3690603448363796,1
e-mail,0,0,2,6,12,25,63,181,486,NaN,NaN,-0.04971745245988851,0.4200910537394618,0.48856503279168134,0.5925626918090311,0.5510546474084823,0.46411849173105696,0.4107089348399222,1
teaspoon,85,159,271,454,686,1059,1670,2693,4317,0.3662597100204405,0.36556986982479495,0.36196832515726146,0.34427945783615355,0.33517204102251086,0.33103156765045744,0.31872809067179464,0.293232644035979,0.2805144611787219,1
infrastructure,16,44,115,251,482,863,1482,2439,3727,0.6558359376534314,0.6299182231979965,0.5871787342210627,0.5576003525887807,0.5542847439929036,0.5176937773179483,0.49676822616649985,0.4557306065887303,0.43313311740983584,1
feedback,0,0,1,2,5,26,99,371,1071,NaN,NaN,0.6181630546955624,0.7611278938539905,0.6605824714120503,0.5490650283197054,0.40100492357744927,0.39755998094936756,0.3804687672003509,1
lifestyle,1,1,2,4,15,63,259,840,1953,0.6496804009072564,0.6496804009072564,0.7722086215062598,0.3922925038665841,0.5200027091428966,0.34914960106855697,0.41611933373106186,0.3825311089616812,0.3706378705726662,1
youre,0,0,0,1,4,40,112,284,594,NaN,NaN,NaN,0.2285590766245689,0.31804346952105716,0.43654159696536843,0.38443157309611614,0.36080669103568486,0.35124596897848165,1
metro,0,1,7,20,61,130,298,611,1220,NaN,0.8823529411764706,0.8262980897819059,0.661499786688827,0.6320340054808331,0.5819487754695621,0.535919134925395,0.5085497690474805,0.48464648267896787,1
database,3,3,5,18,53,151,386,880,1796,0.8816167641760235,0.8816167641760235,0.7681298749416154,0.6668375981387,0.5801069722399637,0.5313755329983588,0.5061037968934734,0.46351849610591733,0.44636349385876767,1
website,0,0,1,3,7,18,71,218,615,NaN,NaN,0.8370952383667944,0.8651536534067065,0.7980245091656238,0.7440088185980761,0.6262044646830601,0.5705703527838992,0.5035967348215074,1
pasta,231,319,437,585,793,1101,1595,2517,4087,0.4696631615868608,0.4077593640286551,0.40055650909063173,0.37571942490971394,0.341496595156714,0.3135806437735217,0.2910700278103455,0.25717799238887107,0.2427906168156847,1
tablespoon,95,184,296,458,670,994,1550,2443,3878,0.37150584748172105,0.4032718602417826,0.3793237796207281,0.35117700363805354,0.3397999537792876,0.33511844663193424,0.3226603457198375,0.300320797474893,0.2769919071187113,1
update,0,0,0,0,2,14,62,228,713,NaN,NaN,NaN,NaN,0.6358002331953201,0.6823470087750573,0.6035966501827014,0.5283865082671264,0.5001106702957818,1
